tic_id,toi,disposition,epoch_bjd,period/days,duration/hours,depth,planet_radius,stellar_radius,stteff,logg,tess_mag,prob_planet,rank
420018238,7133.01,PC,2460444.955587,3.8282053,3.891,4275.0,11.9804,2.05,6455.0,3.93,12.7389,0.6425680538903257,2124
219485050,4065.01,PC,2459740.847953,3.5908038,3.027,6690.0,9.85407,1.18,5657.0,4.3,12.8377,0.6419692329975362,2125
34646336,3675.01,PC,2459479.09838,5.9577768,4.6924078,12419.1287881,12.4756295,1.12249,5219.0,4.29,13.4326,0.6416036945527054,2126
280726137,4284.01,PC,2460099.511735,3.5008785,4.9601804,6338.2982031,14.5866828,1.8056901,5759.0,4.3,13.0528,0.6415131084878798,2127
309133240,7338.01,PC,2460629.884208,3.3847215,3.475,612.0,3.52009,0.77,5199.0,4.61,8.5565,0.6409259647446226,2128
352147273,6225.01,PC,2459867.415663,8.555965,1.865,12373.0,5.09342,0.44,3376.0,4.79,13.104,0.6405364688911955,2129
277499689,7190.01,PC,2460498.570097,4.1223508,3.103,9275.0,11.9742,1.28,6116.7,4.33,11.854,0.6394606160976118,2130
13023378,344.01,PC,2459092.388012,6.0672187,3.0803438,7468.3938627,9.4901642,1.0793999,6149.0,4.44,11.9221,0.6387062903464408,2131
160487753,1345.01,PC,2458715.45948,8.47134,6.989,540.0,16.9325,4.88,5146.0,4.33,10.8049,0.6384392804923037,2132
408137826,941.01,PC,2459198.275288,8.5145626,3.78,3260.0,6.95626,1.18,5920.0,4.32,10.9968,0.6371305287547792,2133
403405969,5021.01,PC,2459384.238317,12.975062,6.124,6210.0,11.8674,1.5,6480.9,4.2,13.2565,0.6368950570505773,2134
301455423,3326.01,PC,2459387.102253,1.0664194,2.106,14350.0,14.3422,1.18,5897.0,4.33,13.1482,0.6368451397558644,2135
317252733,3735.01,PC,2459912.078486,3.3526843,3.9579058,11429.0738935,11.1102207,1.0157599,6245.0,4.51,11.3032,0.6361630423678074,2136
60491424,5923.01,PC,2459817.155209,4.0252588,3.596,8980.0,13.4189,1.4,6059.0,4.2,12.7861,0.6361191962524251,2137
45296362,3019.01,PC,2459329.12965,5.9594909,2.201,15090.0,12.8042,1.0,5950.0,4.47,13.4834,0.6354788576117755,2138
332860211,2778.01,PC,2459198.536737,4.4445101,2.737,16730.0,14.6892,1.14,6288.0,4.42,12.3409,0.6348203818630277,2139
446166017,7029.01,PC,2460392.777339,1.9271521,1.201,58745.0,13.364,0.55,3516.0,4.7,14.8347,0.6344773303545692,2140
287231664,3840.01,PC,2459633.530048,3.6217624,2.963,6140.0,10.1723,1.28,5788.0,4.24,13.1697,0.6344742705526537,2141
305375697,5870.01,PC,2459817.799423,4.088721700000001,3.516,3736.0,10.8653,1.48,6336.8,4.2,10.7974,0.6343449694088436,2142
274974693,4095.01,PC,2459762.415394,4.1539244,1.41,7500.0,9.73932,1.09,5737.0,4.37,12.9287,0.6341706633380446,2143
328933398,1873.02,PC,2458848.638767,900.1930987,6.3963069,1344.4884882,3.6185236,0.971675,5699.0,4.47,10.7447,0.6340026525082813,2144
236632480,5215.01,PC,2459443.206935,7.4244269,3.655,7290.0,11.1736,1.34,5873.0,4.21,12.8507,0.6334385505114237,2145
252430813,3706.01,PC,2460286.769995,4.3701795,3.7808822,15001.3632154,15.4523265,1.23067,6647.1,4.4,13.4223,0.6329307982979977,2146
255756918,2788.01,PC,2459251.646067,4.0646554,2.813,7700.0,8.30577,0.93,5647.0,4.5,13.4177,0.6320950737205967,2147
240959810,3691.01,PC,2459904.568451,3.3411398,3.244,15431.0,15.9091,1.3,6702.0,4.36,12.6772,0.6320281078466068,2148
257520272,4291.01,PC,2459383.47146,12.1525595,5.254,6400.0,10.0438,1.28,6029.0,4.27,13.3404,0.6318820187528686,2149
14715294,3121.01,PC,2459304.265389,5.5167527,4.288,13410.0,21.0821,1.81,6296.0,4.01,13.1194,0.6316603953751102,2150
366315051,6608.01,PC,2460093.589256,7.3144752,1.481,19146.0,13.336,0.99,5137.0,4.39,12.8314,0.6315226431266899,2151
40093986,7319.01,PC,2460557.098275,2.5918359,3.933,6221.0,15.5459,2.08,5891.0,3.83,13.4184,0.6306237561023004,2152
177077336,723.01,PC,2460192.912711,1.4178596,1.452,204.0,1.10894,0.76,4907.96,4.57809,10.0686,0.6300490804172855,2153
247409676,5334.01,PC,2459520.904138,3.6136326,3.31,7280.0,12.3259,1.41,5957.5,4.18,12.3857,0.6295079179594777,2154
251852984,323.01,PC,2458355.57459,2.7723915,1.8223369,5882.0194354,6.3703129,0.775641,4558.0,4.52,13.3547,0.6293052046301298,2155
255907107,5760.01,PC,2459739.173528,7.924204,4.458,8160.0,12.6224,1.39,5739.6,4.17,12.5992,0.6291416023443221,2156
382187347,6521.01,PC,2460033.08159,3.581253,1.874,41493.0,12.2522,0.58,3873.0,4.66,14.9198,0.6281992805098373,2157
66545173,7106.01,PC,2460568.642831,2.7945508,2.978,8242.0,13.7026,1.56,6345.0,4.15,13.3622,0.6281578392491486,2158
171160885,3713.01,PC,2459918.987409,10.4401778,2.783,14120.0,11.2253,0.89,4571.1,4.4,12.5021,0.6278375042299736,2159
260962960,3703.01,PC,2460286.817556,3.8901335,4.0827715,6927.6783585,19.0494736,2.2370601,6530.0,3.87,12.3653,0.6273391449152619,2160
383216635,5865.01,PC,2459815.836665,6.6314176,2.372,3080.0,10.0835,1.75,6044.0,4.0,11.3471,0.6271005042440452,2161
56999883,5618.01,PC,2459630.759188,3.5254325,3.31,5790.0,17.2611,1.25,5497.0,4.23,12.9882,0.6268295931657181,2162
114600571,6938.01,PC,2460277.283118,4.8789974,6.112,4762.0,15.3642,2.46,6473.0,3.78,13.1593,0.6262183620132806,2163
256778317,7353.01,PC,2460582.686755,6.2157513,3.295,4008.0,10.0556,1.65,6015.2,4.05,12.3053,0.6259761104641961,2164
264171144,2281.01,PC,2458765.860515,210.668358,10.3865576,342.5966404,2.8961818,1.52592,6683.0,4.22146,9.13648,0.6257918315204424,2165
408609355,6794.01,PC,2460140.000542,7.3099457,6.439,4484.0,12.4526,2.38,6391.0,3.79,12.227,0.6255208825430908,2166
221566773,6733.01,PC,2460118.586103,3.2529571,4.813,6055.0,15.5894,2.21,6623.0,3.89,12.8086,0.6253813804824164,2167
